0.01	1	6.71E-01	6.82E-01	6.96E-01	7.93E-17	0	2.47E-02
0.02	1	6.71E-01	6.82E-01	6.96E-01	7.93E-17	0	2.47E-02
0.03	1	6.71E-01	6.82E-01	6.96E-01	7.93E-17	0	2.47E-02
0.04	1	6.71E-01	6.82E-01	6.96E-01	7.93E-17	0	2.47E-02
0.05	1	6.71E-01	6.82E-01	6.96E-01	7.93E-17	0	2.47E-02
0.06	1	7.44E-01	7.53E-01	7.93E-01	6.18E-17	0	4.16E-02
0.07	1	8.06E-01	8.13E-01	8.79E-01	4.94E-17	0	6.40E-02
0.08	1	8.59E-01	8.63E-01	9.54E-01	4.01E-17	0	9.23E-02
0.09	1	9.03E-01	9.04E-01	1.02E+00	3.30E-17	0	1.27E-01
0.1	1	9.39E-01	9.36E-01	1.08E+00	2.73E-17	0	1.67E-01
0.11	1	9.69E-01	9.62E-01	1.12E+00	2.30E-17	0	2.23E-01
0.12	1	9.93E-01	9.81E-01	1.16E+00	1.92E-17	0	2.71E-01
0.13	1	1.01E+00	9.94E-01	1.19E+00	1.60E-17	0	3.28E-01
0.14	1	1.02E+00	1.00E+00	1.22E+00	1.35E-17	0	3.93E-01
0.15	1	1.03E+00	1.01E+00	1.24E+00	1.12E-17	0	4.49E-01
0.16	1	1.04E+00	1.01E+00	1.25E+00	9.38E-18	0	5.30E-01
0.17	1	1.04E+00	1.00E+00	1.26E+00	7.77E-18	0	6.00E-01
0.18	1	1.04E+00	9.95E-01	1.26E+00	6.37E-18	0	6.76E-01
0.19	1	1.03E+00	9.85E-01	1.26E+00	5.16E-18	0	7.58E-01
0.2	1	1.02E+00	9.73E-01	1.26E+00	4.12E-18	0	8.27E-01
0.21	1	1.01E+00	9.59E-01	1.25E+00	3.17E-18	0	9.20E-01
0.22	1	1.00E+00	9.43E-01	1.23E+00	2.36E-18	0	9.97E-01
0.23	1	9.88E-01	9.26E-01	1.22E+00	1.63E-18	0	1.08E+00
0.24	1	9.73E-01	9.08E-01	1.20E+00	9.87E-19	0	1.16E+00
0.25	1	9.56E-01	8.89E-01	1.18E+00	4.48E-19	0	1.23E+00
0.26	1	9.40E-01	8.70E-01	1.16E+00	0	0	1.32E+00
0.27	1	9.21E-01	8.49E-01	1.14E+00	0	0	1.40E+00
0.28	1	9.03E-01	8.29E-01	1.11E+00	0	0	1.47E+00
0.29	1	8.83E-01	8.08E-01	1.09E+00	0	0	1.55E+00
0.3	1	8.63E-01	7.87E-01	1.06E+00	0	0	1.61E+00
0.31	1	8.44E-01	7.67E-01	1.04E+00	0	0	1.68E+00
0.32	1	8.23E-01	7.46E-01	1.01E+00	0	0	1.74E+00
0.33	1	8.03E-01	7.25E-01	9.81E-01	0	0	1.80E+00
0.34	1	7.83E-01	7.05E-01	9.54E-01	0	0	1.86E+00
0.35	1	7.62E-01	6.85E-01	9.26E-01	0	0	1.90E+00
0.36	1	7.43E-01	6.66E-01	9.00E-01	0	0	1.95E+00
0.37	1	7.23E-01	6.46E-01	8.73E-01	0	0	1.99E+00
0.38	1	7.04E-01	6.28E-01	8.47E-01	0	0	2.03E+00
0.39	1	6.85E-01	6.10E-01	8.22E-01	0	0	2.06E+00
0.4	1	6.66E-01	5.91E-01	7.95E-01	0	0	2.08E+00
0.41	1	6.52E-01	5.77E-01	7.75E-01	0	0	2.13E+00
0.42	1	6.36E-01	5.62E-01	7.53E-01	0	0	2.15E+00
0.43	1	6.18E-01	5.46E-01	7.30E-01	0	0	2.17E+00
